entry-date,start-date,end-date,reference,name,local-plan,notes,description,event-date,event-type
2024-11-11,,,camden-local-plan-2026-timetable-0-timetable-published-0,,camden-local-plan-2026,,,2023-12,timetable-published
2024-11-11,,,camden-local-plan-2026-timetable-1-estimated-reg-19-public-consultation-start-1,,camden-local-plan-2026,,,2024,estimated-reg-19-public-consultation-start
2024-11-11,,,camden-local-plan-2026-timetable-2-estimated-submit-plan-for-examination-1,,camden-local-plan-2026,,,2025,estimated-submit-plan-for-examination
2024-11-11,,,camden-local-plan-2026-timetable-3-reg-18-public-consultation-start-1,,camden-local-plan-2026,,,2020,reg-18-public-consultation-start
2024-11-11,,,camden-local-plan-2026-timetable-4-reg-18-public-consultation-start-1,,camden-local-plan-2026,,,2022,reg-18-public-consultation-start
2024-11-11,,,camden-local-plan-2026-timetable-5-reg-18-public-consultation-start-1,,camden-local-plan-2026,,,2024-01-17,reg-18-public-consultation-start
2024-11-11,,,east-lindsey-district-council-local-plan-2018-timetable-0-submit-plan-for-examination-2,,east-lindsey-district-council-local-plan-2018,,,2017-04-19,submit-plan-for-examination
2024-11-11,,,thurrock-local-plan-2040-timetable-0-timetable-published-0,,thurrock-local-plan-2040,,,2023-09,timetable-published
2024-11-11,,,thurrock-local-plan-2040-timetable-1-estimated-reg-18-draft-local-plan-published-2,,thurrock-local-plan-2040,,,2023-12,estimated-reg-18-draft-local-plan-published
2024-11-11,,,thurrock-local-plan-2040-timetable-2-estimated-reg-19-publication-local-plan-published-2,,thurrock-local-plan-2040,,,2024-09,estimated-reg-19-publication-local-plan-published
2024-11-11,,,thurrock-local-plan-2040-timetable-3-estimated-submit-plan-for-examination-1,,thurrock-local-plan-2040,,,2025-03,estimated-submit-plan-for-examination
2024-11-11,,,london-borough-of-islington-local-plan-2023-timetable-0-reg-18-public-consultation-start-1,,london-borough-of-islington-local-plan-2023,,,2018-11-20,reg-18-public-consultation-start
2024-11-11,,,london-borough-of-islington-local-plan-2023-timetable-1-reg-19-public-consultation-start-1,,london-borough-of-islington-local-plan-2023,,,2019-09-05,reg-19-public-consultation-start
2024-11-11,,,london-borough-of-islington-local-plan-2023-timetable-2-planning-inspectorate-examination-start-2,,london-borough-of-islington-local-plan-2023,,,2021-09,planning-inspectorate-examination-start
2024-11-11,,,london-borough-of-islington-local-plan-2023-timetable-3-plan-adopted-0,,london-borough-of-islington-local-plan-2023,,,2023-09-28,plan-adopted
2024-11-11,,,new-ashford-local-plan-to-2042-timetable-0-estimated-reg-18-draft-local-plan-published-2,,new-ashford-local-plan-to-2042,,,2025-04,estimated-reg-18-draft-local-plan-published
2024-11-11,,,new-ashford-local-plan-to-2042-timetable-1-estimated-reg-19-publication-local-plan-published-2,,new-ashford-local-plan-to-2042,,,2026-02,estimated-reg-19-publication-local-plan-published
2024-11-11,,,new-ashford-local-plan-to-2042-timetable-2-estimated-submit-plan-for-examination-1,,new-ashford-local-plan-to-2042,,,2026-09,estimated-submit-plan-for-examination
2024-11-11,,,new-local-plan-0-0-timetable-0-estimated-reg-18-draft-local-plan-published-2,,new-local-plan-0-0,,,2023-11-03,estimated-reg-18-draft-local-plan-published
2024-11-11,,,new-local-plan-0-0-timetable-1-estimated-reg-19-publication-local-plan-published-2,,new-local-plan-0-0,,,2023-11-03,estimated-reg-19-publication-local-plan-published
2024-11-11,,,new-local-plan-0-0-timetable-2-estimated-submit-plan-for-examination-1,,new-local-plan-0-0,,,2023-11-03,estimated-submit-plan-for-examination
2024-11-11,,,arun-district-council-local-plan-2011-timetable-0-planning-inspectorate-examination-start-2,,arun-district-council-local-plan-2011,,,2015-06-02,planning-inspectorate-examination-start
2024-11-11,,,arun-district-council-local-plan-2011-timetable-1-inspector-report-published-1,,arun-district-council-local-plan-2011,,,2018-07,inspector-report-published
2024-11-11,,,ashford-borough-council-local-plan-2019-timetable-0-planning-inspectorate-examination-start-2,,ashford-borough-council-local-plan-2019,,,2018-04-11,planning-inspectorate-examination-start
2024-11-11,,,ashford-borough-council-local-plan-2019-timetable-1-inspector-report-published-1,,ashford-borough-council-local-plan-2019,,,2019-01-02,inspector-report-published
2024-11-11,,,london-borough-of-camden-local-plan-2017-timetable-0-planning-inspectorate-examination-start-2,,london-borough-of-camden-local-plan-2017,,,2016-06,planning-inspectorate-examination-start
2024-11-11,,,london-borough-of-camden-local-plan-2017-timetable-1-planning-inspectorate-found-sound-2,,london-borough-of-camden-local-plan-2017,,,2017-05-10,planning-inspectorate-found-sound
2024-11-11,,,london-borough-of-ealing-local-plan-2011-timetable-0-estimated-submit-plan-for-examination-1,,london-borough-of-ealing-local-plan-2011,,,2024-05,estimated-submit-plan-for-examination
2024-11-11,,,london-borough-of-ealing-local-plan-2011-timetable-1-reg-18-draft-local-plan-published-2,,london-borough-of-ealing-local-plan-2011,,,2022-11-30,reg-18-draft-local-plan-published
2024-11-11,,,london-borough-of-ealing-local-plan-2011-timetable-2-reg-19-publication-local-plan-published-2,,london-borough-of-ealing-local-plan-2011,,,2024-02-28,reg-19-publication-local-plan-published
2024-11-11,,,london-borough-of-lewisham-local-plan-2020-timetable-0-reg-18-draft-local-plan-published-2,,london-borough-of-lewisham-local-plan-2020,,,2021-01-15,reg-18-draft-local-plan-published
2024-11-11,,,london-borough-of-lewisham-local-plan-2020-timetable-1-reg-18-public-consultation-start-1,,london-borough-of-lewisham-local-plan-2020,,,2021-01-15,reg-18-public-consultation-start
2024-11-11,,,london-borough-of-lewisham-local-plan-2020-timetable-2-reg-19-public-consultation-start-1,,london-borough-of-lewisham-local-plan-2020,,,2023-03-01,reg-19-public-consultation-start
2024-11-11,,,london-borough-of-lewisham-local-plan-2020-timetable-3-submit-plan-for-examination-0,,london-borough-of-lewisham-local-plan-2020,,,2023-11-03,submit-plan-for-examination
